id,name,slug,status,query,title,path,url,score,reason,desc_excerpt,categories
10,마등,ma_teng_10,KEEP,마등,마등,/w/%EB%A7%88%EB%93%B1,https://namu.wiki/w/%EB%A7%88%EB%93%B1,9,strong:후한 말|정사 삼국지,후한 말의 군벌 . 자 는 수성(壽成). 정사 삼국지 출생 마등은 사례 우부풍 무릉현 사람으로 남만,212년 사망 | 후한의 군벌 | 한나라의 관료 | 참수된 인물
13,장로,zhang_lu_13,KEEP,장로(삼국지),장로(삼국지),/w/%EC%9E%A5%EB%A1%9C(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%EC%9E%A5%EB%A1%9C(%EC%82%BC%EA%B5%AD%EC%A7%80),9,strong:후한 말;qual:삼국지,후한 말 오두미도 의 교주 이자 군벌 로 자 는 공기(公祺). 예주 패국 풍현 사람. 아버지는 장,후한의 군벌 | 216년 사망 | 오두미도 장천사 | 쉬저우시 출신 인물
16,한수,han_sui_16,KEEP,한수(삼국지),한수(삼국지),/w/%ED%95%9C%EC%88%98(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%ED%95%9C%EC%88%98(%EC%82%BC%EA%B5%AD%EC%A7%80),11,strong:후한 말|정사 삼국지;qual:삼국지,"후한 말 양주 의 군벌 . 정사 삼국지 양주 금성군 사람으로 은화 휘하에서 군리, 종사를 지냈다. 반",후한의 군벌 | 215년 사망 | 란저우시 출신 인물 | 참수된 인물
21,하진,ha_jin_21,KEEP,하진(후한),하진(삼국지),/w/%ED%95%98%EC%A7%84(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%ED%95%98%EC%A7%84(%EC%82%BC%EA%B5%AD%EC%A7%80),9,strong:후한 말;qual:삼국지,"후한 말기의 대장군 이자 외척 . 자는 수고(遂高)로 아버지는 하진(何眞), 하태후 의 이복오빠이자 하묘",189년 사망 | 후한의 외척 | 암살된 인물 | 난양시 출신 인물 | 한나라/무관 | 아시아의 독재자 | 후한의 대장군
25,가비능,kebineng_25,KEEP,가비능,가비능,/w/%EA%B0%80%EB%B9%84%EB%8A%A5,https://namu.wiki/w/%EA%B0%80%EB%B9%84%EB%8A%A5,9,strong:후한 말|삼국시대,후한 말과 삼국시대 의 선비족 의 대인. 용맹하고 굳세면서 옳고 그름을 판결하는 것에 공평하면서도 재물을 탐하,선비족 | 234년 사망 | 암살된 인물 | 날붙이에 죽은 인물 | 동아시아의 군벌 | 북아시아의 군벌
26,주창,ju_chang_26,KEEP,주창,주창,/w/%EC%A3%BC%EC%B0%BD,https://namu.wiki/w/%EC%A3%BC%EC%B0%BD,7,strong:삼국지연의,삼국지 의 가공인물 . 경극에서 설정된 자 는 원복(元福). 연의에서는 자가 없다. 삼국지평화 삼국지연의에 앞서,삼국지/가공인물
33,조인,cao_ren_33,KEEP,조인,조인,/w/%EC%A1%B0%EC%9D%B8,https://namu.wiki/w/%EC%A1%B0%EC%9D%B8,20,strong:후한 말|삼국시대|정사 삼국지|조위,후한 말과 삼국시대 위나라 의 인물. 자 는 자효(子孝). 정사 삼국지 조조 휘하 출생과 초기 경력 조조,후한의 인물 | 한나라/무관 | 조위의 인물 | 삼국시대(중국)/황족 | 168년 출생 | 223년 사망 | 보저우시 출신 인물
36,전위,dian_wei_36,KEEP,전위(삼국지),전위(삼국지),/w/%EC%A0%84%EC%9C%84(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%EC%A0%84%EC%9C%84(%EC%82%BC%EA%B5%AD%EC%A7%80),9,strong:후한 말;qual:삼국지,후한 말의 인물이자 조조 휘하의 장수. 전위의 자는 그 어떤 사서에도 기록되지 않았으며 이 문서에 쓰여있던 군,197년 사망 | 상추시 출신 인물 | 후한의 인물 | 한나라/무관 | 전쟁 사망자 | 화살에 죽은 인물
37,장료,zhang_liao_37,KEEP,장료,장료,/w/%EC%9E%A5%EB%A3%8C,https://namu.wiki/w/%EC%9E%A5%EB%A3%8C,13,strong:후한 말|삼국시대|조위|위나라,후한 말과 삼국시대 위나라 의 인물이며 자 는 문원(文遠). 후일 유비 가 촉(蜀)을 취하여 삼국,조위의 인물 | 한나라/무관 | 169년 출생 | 222년 사망 | 숴저우시 출신 인물
41,곽가,guo_jia_41,KEEP,곽가,곽가,/w/%EA%B3%BD%EA%B0%80,https://namu.wiki/w/%EA%B3%BD%EA%B0%80,7,strong:후한 말,후한 말의 인물이자 조조 휘하의 책사 로 자 는 봉효(奉孝). 예주 영천군 양책현 사람. 현 쉬창,후한의 인물 | 한나라의 관료 | 170년 출생 | 207년 사망 | 쉬창시 출신 인물 | 영천 곽씨
